"","Metabolite","beta","Std..Error","z.value","pval","lci","uci","OR","Pval","LCI","UCI"
"116","M.VLDL.CE..",0.909651519,0.030183272,-3.137290656,0.00170517,0.857284983,0.964999446,0.909651519,0.00170517,0.857284983,0.964999446
"117","M.VLDL.FC..",1.045717253,0.030206049,1.479935893,0.138890356,0.98560757,1.109600376,1.045717253,0.138890356,0.98560757,1.109600376
"118","M.VLDL.TG..",1.106841881,0.030163808,3.365318109,0.000764555,1.043393043,1.174395519,1.106841881,0.000764555,1.043393043,1.174395519
"119","S.VLDL.PL..",0.944370878,0.030156764,-1.897959288,0.057701445,0.890112422,1.001856383,0.944370878,0.057701445,0.890112422,1.001856383
"120","S.VLDL.C..",0.905054372,0.030321915,-3.290038112,0.001001738,0.852735488,0.960386753,0.905054372,0.001001738,0.852735488,0.960386753
"121","S.VLDL.CE..",0.906027748,0.030342502,-3.252379987,0.001144429,0.853616714,0.961457325,0.906027748,0.001144429,0.853616714,0.961457325
"122","S.VLDL.FC..",0.931788057,0.030259989,-2.334762808,0.019555815,0.878066715,0.988683025,0.931788057,0.019555815,0.878066715,0.988683025
"123","S.VLDL.TG..",1.108816386,0.030311831,3.407683601,0.000655168,1.044951214,1.176820782,1.108816386,0.000655168,1.044951214,1.176820782
"124","XS.VLDL.PL..",0.896698942,0.030878705,-3.531077498,0.00041387,0.843693739,0.952311426,0.896698942,0.00041387,0.843693739,0.952311426
"125","XS.VLDL.C..",0.947351674,0.030256974,-1.787518452,0.073853733,0.892667641,1.005123273,0.947351674,0.073853733,0.892667641,1.005123273
"126","XS.VLDL.CE..",0.972152066,0.030158624,-0.936483048,0.349024537,0.916284582,1.031309156,0.972152066,0.349024537,0.916284582,1.031309156
"127","XS.VLDL.FC..",0.932138702,0.030597016,-2.296748598,0.021633115,0.87757102,0.989472529,0.932138702,0.021633115,0.87757102,0.989472529
"128","XS.VLDL.TG..",1.095093604,0.030582049,2.970364834,0.002974463,1.031624295,1.163073649,1.095093604,0.002974463,1.031624295,1.163073649
"129","IDL.PL..",0.945224743,0.030327951,-1.857446804,0.063247613,0.89050968,1.002984642,0.945224743,0.063247613,0.89050968,1.002984642
"130","IDL.C..",0.947423274,0.030469948,-1.77254401,0.076304296,0.892335199,1.005594494,0.947423274,0.076304296,0.892335199,1.005594494
"131","IDL.CE..",1.022447296,0.030536214,0.726974979,0.467241284,0.963060774,1.085569715,1.022447296,0.467241284,0.963060774,1.085569715
"132","IDL.FC..",0.913893948,0.030835114,-2.920071714,0.003499508,0.859939561,0.970500854,0.913893948,0.003499508,0.859939561,0.970500854
"133","IDL.TG..",1.070125707,0.030461815,2.224953601,0.026084353,1.008291692,1.13624447,1.070125707,0.026084353,1.008291692,1.13624447
"134","L.LDL.PL..",1.078800904,0.030770431,2.46503375,0.013700035,1.015924816,1.146245352,1.078800904,0.013700035,1.015924816,1.146245352
"135","L.LDL.C..",0.928222891,0.030984673,-2.403878551,0.016222162,0.873178917,0.986029838,0.928222891,0.016222162,0.873178917,0.986029838
"136","L.LDL.CE..",0.944717817,0.030794211,-1.846743265,0.064784358,0.889153883,1.00330638,0.944717817,0.064784358,0.889153883,1.00330638
"137","L.LDL.FC..",0.95346545,0.030515077,-1.56159164,0.11838422,0.897820445,1.01200399,0.95346545,0.11838422,0.897820445,1.01200399
"138","L.LDL.TG..",1.057167702,0.030717299,1.80983859,0.070320822,0.995628629,1.123132331,1.057167702,0.070320822,0.995628629,1.123132331
"139","M.LDL.PL..",1.106454392,0.031320298,3.229875432,0.001238442,1.040981104,1.177059761,1.106454392,0.001238442,1.040981104,1.177059761
"140","M.LDL.C..",0.908696585,0.03124722,-3.064081617,0.002183393,0.854311036,0.965715397,0.908696585,0.002183393,0.854311036,0.965715397
"141","M.LDL.CE..",0.906480711,0.031153338,-3.151685584,0.00162331,0.852424221,0.963217805,0.906480711,0.00162331,0.852424221,0.963217805
"142","M.LDL.FC..",1.09152338,0.030649963,2.857240557,0.004273418,1.028092667,1.159397882,1.09152338,0.004273418,1.028092667,1.159397882
"143","M.LDL.TG..",1.063457556,0.030756429,2.000409231,0.045456092,1.001471624,1.129890012,1.063457556,0.045456092,1.001471624,1.129890012
"144","S.LDL.PL..",1.096851064,0.03079434,3.00196091,0.002682466,1.032885255,1.165477445,1.096851064,0.002682466,1.032885255,1.165477445
"145","S.LDL.C..",0.906368746,0.030986481,-3.172643312,0.00151058,0.85261727,0.962802972,0.906368746,0.00151058,0.85261727,0.962802972
"146","S.LDL.CE..",0.906294259,0.030905051,-3.183661943,0.001454247,0.852714472,0.962599074,0.906294259,0.001454247,0.852714472,0.962599074
"147","S.LDL.FC..",1.074619559,0.030406591,2.366812536,0.017942018,1.012580902,1.140809865,1.074619559,0.017942018,1.012580902,1.140809865
"148","S.LDL.TG..",1.09534324,0.030930475,2.944273447,0.003237138,1.031239968,1.164257046,1.09534324,0.003237138,1.031239968,1.164257046
"149","XL.HDL.PL..",0.938764154,0.030224806,-2.090699864,0.036554977,0.884577282,0.995897949,0.938764154,0.036554977,0.884577282,0.995897949
"150","XL.HDL.C..",1.059144416,0.030117554,1.907904856,0.056403515,0.998548685,1.123730747,1.059144416,0.056403515,0.998548685,1.123730747
"151","XL.HDL.CE..",1.058417612,0.030055244,1.889020562,0.058889074,0.997990101,1.122830336,1.058417612,0.058889074,0.997990101,1.122830336
"152","XL.HDL.FC..",1.013029354,0.030147584,0.429394341,0.667636271,0.954866527,1.074719516,1.013029354,0.667636271,0.954866527,1.074719516
"153","XL.HDL.TG..",1.062085314,0.030351265,1.984571409,0.047192176,1.000934527,1.127467474,1.062085314,0.047192176,1.000934527,1.127467474
"154","L.HDL.PL..",0.940452011,0.030468887,-2.014995071,0.043905166,0.885871178,0.998290558,0.940452011,0.043905166,0.885871178,0.998290558
"155","L.HDL.C..",1.033697416,0.030263873,1.095104345,0.273470925,0.974143782,1.096894666,1.033697416,0.273470925,0.974143782,1.096894666
"156","L.HDL.CE..",1.073436908,0.030356431,2.334449781,0.019572183,1.011474997,1.139342121,1.073436908,0.019572183,1.011474997,1.139342121
"157","L.HDL.FC..",0.968167193,0.030552883,-1.058835802,0.289674566,0.911753042,1.027814241,0.968167193,0.289674566,0.911753042,1.027814241
"158","L.HDL.TG..",1.028407099,0.030583776,0.915881004,0.359729311,0.968680519,1.092145595,1.028407099,0.359729311,0.968680519,1.092145595
"159","M.HDL.PL..",1.034426946,0.030442329,1.111859696,0.26619848,0.974711568,1.098388765,1.034426946,0.26619848,0.974711568,1.098388765
"160","M.HDL.C..",0.959402622,0.030229428,-1.370997082,0.170375866,0.904076906,1.017866496,0.959402622,0.170375866,0.904076906,1.017866496
"161","M.HDL.CE..",0.989055163,0.030097307,-0.365653079,0.714623963,0.932291691,1.049103242,0.989055163,0.714623963,0.932291691,1.049103242
"162","M.HDL.FC..",0.899838526,0.030963444,-3.40853388,0.00065313,0.846482745,0.955780195,0.899838526,0.00065313,0.846482745,0.955780195
"163","M.HDL.TG..",1.039309641,0.030279157,1.273373825,0.202885421,0.979498369,1.10298849,1.039309641,0.202885421,0.979498369,1.10298849
"164","S.HDL.PL..",1.083738315,0.030375505,2.647411634,0.008111055,1.021237188,1.150417437,1.083738315,0.008111055,1.021237188,1.150417437
"165","S.HDL.C..",0.913558324,0.030504101,-2.963800157,0.003038656,0.860340571,0.969663411,0.913558324,0.003038656,0.860340571,0.969663411
"166","S.HDL.CE..",0.913195573,0.030505226,-2.976710039,0.002913594,0.859998852,0.969282272,0.913195573,0.002913594,0.859998852,0.969282272
"167","S.HDL.FC..",1.080768735,0.03036212,2.558206721,0.010521353,1.018425327,1.147186678,1.080768735,0.010521353,1.018425327,1.147186678
"168","S.HDL.TG..",1.07530233,0.030390169,2.388991615,0.016894688,1.013247179,1.141488446,1.07530233,0.016894688,1.013247179,1.141488446
"169","VLDL.D",1.10398205,0.030202669,3.275329366,0.001055388,1.040615607,1.171434245,1.10398205,0.001055388,1.040615607,1.171434245
"170","LDL.D",0.964756945,0.029942953,-1.1982479,0.230820523,0.909713526,1.023053596,0.964756945,0.230820523,0.909713526,1.023053596
"171","HDL.D",0.983275223,0.03010942,-0.56016408,0.575367525,0.926920963,1.04307368,0.983275223,0.575367525,0.926920963,1.04307368
"172","Serum.C",0.913704969,0.03049115,-2.959794919,0.003078439,0.86062809,0.969921237,0.913704969,0.003078439,0.86062809,0.969921237
"173","VLDL.C",1.016398174,0.030288748,0.537003886,0.59126493,0.957850617,1.07864062,1.016398174,0.59126493,0.957850617,1.07864062
"174","Remnant.C",0.970229901,0.030363612,-0.995343515,0.319569221,0.914155799,1.029731867,0.970229901,0.319569221,0.914155799,1.029731867
"175","LDL.C",0.911293134,0.030442041,-3.051394018,0.002277814,0.858435799,0.967262253,0.911293134,0.002277814,0.858435799,0.967262253
"176","HDL.C",0.930836755,0.030282512,-2.36675743,0.01794469,0.877137811,0.987722018,0.930836755,0.01794469,0.877137811,0.987722018
"177","HDL2.C",0.934383929,0.030255501,-2.243157915,0.024886633,0.880530842,0.991438105,0.934383929,0.024886633,0.880530842,0.991438105
"178","HDL3.C",0.91464293,0.030459391,-2.929196161,0.003398399,0.861562932,0.970853445,0.91464293,0.003398399,0.861562932,0.970853445
